time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-05 00:00:00+00:00,,,1,1
2021-06-06 00:00:00+00:00,,,2,1
2021-06-07 00:00:00+00:00,,,4,1
2021-06-08 00:00:00+00:00,,,1,1
2021-06-12 00:00:00+00:00,5.0,5.0,15,2
2021-06-17 00:00:00+00:00,6.0,6.0,7,1
