url_path,views_total,views_unique
/djmcgregor/djmcgregor.github.io,49,4
/djmcgregor/djmcgregor.github.io/actions,33,1
/djmcgregor/djmcgregor.github.io/graphs/traffic,11,1
/djmcgregor/djmcgregor.github.io/pulse,10,1
/djmcgregor/djmcgregor.github.io/commits/master,9,1
/djmcgregor/djmcgregor.github.io/tree/github-repo-stats/djmcgregor/djmcgregor.github.io,7,1
/djmcgregor/djmcgregor.github.io/actions/runs/504345876,5,1
/djmcgregor/djmcgregor.github.io/tree/github-repo-stats,5,1
/djmcgregor/djmcgregor.github.io/tree/github-repo-stats/djmcgregor/djmcgregor.github.io/ghrs-data,5,1
/djmcgregor/djmcgregor.github.io/actions/runs/504451848,4,1
