time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-01-15 00:00:00+00:00,,,1,1
2021-01-18 00:00:00+00:00,2.0,2.0,8,1
2021-01-19 00:00:00+00:00,,,1,1
2021-01-22 00:00:00+00:00,9.0,8.0,156,2
2021-01-23 00:00:00+00:00,3.0,2.0,53,3
2021-01-28 00:00:00+00:00,,,6,1
2021-01-29 00:00:00+00:00,,,2,1
