url_path,views_total,views_unique
/djmcgregor/djmcgregor.github.io,11,3
/djmcgregor/djmcgregor.github.io/graphs/traffic,6,1
/djmcgregor/djmcgregor.github.io/tree/7ad3f5c8e2fbb3cfeaa713efd8f22cbc55c8cf18/assets/images/posts,5,1
/djmcgregor/djmcgregor.github.io/pulls,4,2
/djmcgregor/djmcgregor.github.io/blob/7ad3f5c8e2fbb3cfeaa713efd8f22cbc55c8cf18/assets/images/posts/2020-12-31-rapidvent_fig1.jpg,4,1
/djmcgregor/djmcgregor.github.io/blob/7ad3f5c8e2fbb3cfeaa713efd8f22cbc55c8cf18/_posts/2020-12-31-published-covid-emergency-ventilator.md,4,1
/djmcgregor/djmcgregor.github.io/tree/7ad3f5c8e2fbb3cfeaa713efd8f22cbc55c8cf18/_posts,4,1
/djmcgregor/djmcgregor.github.io/blob/298e3e1dab1562cc8dbb28516a9335d8483c0cd3/_pages/publications.md,3,1
/djmcgregor/djmcgregor.github.io/blob/7ad3f5c8e2fbb3cfeaa713efd8f22cbc55c8cf18/_posts/2020-09-24-aequs-rapidvent-production.md,3,1
/djmcgregor/djmcgregor.github.io/graphs/contributors,3,1
