time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-07 00:00:00+00:00,,,1.0,1.0
2022-09-15 00:00:00+00:00,7.0,5.0,6.0,1.0
2022-09-16 00:00:00+00:00,1.0,1.0,,
