url_path,views_total,views_unique
/djmcgregor/djmcgregor.github.io,7,2
/djmcgregor/djmcgregor.github.io/commits/master,2,1
/djmcgregor/djmcgregor.github.io/blob/master/CNAME,1,1
/djmcgregor/djmcgregor.github.io/commit/8aee7c2f7869955b7949b9daf21c87cfe0a96fd9,1,1
